,user_id,username,post_md_like,post_md_retweet,post_md_reply,post_md_quote,post_text,post_text_length
0,4F4D756B-6F63-4B3A-890B-6E816C1463FC,,1.0,,0,,,0.0
1,F26C4C7D-4575-416C-AB28-6CD29D952748,,2.0,,0,,,33.0
2,06F8F0EC-47B6-4160-B964-2F664AA6C8FA,,9.0,,0,,,12.0
3,7AB4FBBA-E11D-4445-8A9E-1582D001553D,,2.0,,5,,,88.0
4,4A199C39-1F9F-49ED-88C0-91E431795935,,1.0,,0,,,28.0
5,BC5020A0-F59D-42EC-A96B-6472E3841F8C,,12.0,,2,,,108.0
6,5CE3D361-0391-442D-A96B-5864F3183DE7,,1.0,,0,,,0.0
7,1841D245-6D66-4C1A-8596-A34E6842F1E8,,8.0,,0,,,0.0
8,59E1234B-2646-4D5C-8DA1-1512892859C0,,11.0,,3,,,39.0
9,054F080E-BC4A-4C9D-B64C-0E0D119BE589,,2.0,,0,,,0.0
10,46FD0E86-525A-439A-BB4B-12364BFDCD78,,5.0,,1,,,0.0
11,A62B79A8-85D3-4962-99FB-5E4DA144FF7C,,1.0,,0,,,0.0
12,B4973477-EF2F-4B45-B36D-80BB6C22D88B,,12.0,,0,,,30.0
13,4C5FFB33-3914-49CA-9890-5B94EFCBA387,,10.0,,0,,,12.0
14,67EA187F-E079-4DCE-A651-618B5F724B1C,,2.0,,0,,,27.0
15,530EF32F-CC94-49DC-9BA6-B3F048E15312,,3.0,,0,,,0.0
16,4AB77302-578C-4440-A403-BFCA4353DC08,,1.0,,0,,,0.0
17,C2D1AC1A-CF6C-42EB-916C-9952E6953FDD,,3.0,,8,,,12.0
18,A89640BE-E3FD-478A-910C-3EEDB727353C,,3.0,,0,,,0.0
19,D838CCAE-3670-461B-93B2-B99627E52F56,,27.0,,0,,,14.0
20,BDDFE93F-93C5-4879-BD6E-083FDDB514F0,,3.0,,0,,,0.0
21,4F9019FA-2719-40D0-BBEB-CDA729EBACD7,,1.0,,0,,,9.0
22,EA76FF18-DA8B-4249-8D6F-C656A610FA54,,6.0,,0,,,0.0
23,C20F5B89-77A0-4D33-8810-B2550C1B14B4,,8.0,,0,,,8.0
24,79787A66-5D80-421D-A9F7-A1275C3CEAC4,,2.0,,0,,,0.0
25,2AA4621F-A888-4E3C-837D-0A3356C22C01,,0.0,,0,,,34.0
26,5E0A9A05-E59A-4E3E-A299-465EA42C92A3,,10.0,,0,,,34.0
27,EC1F362B-A544-48FE-98B8-163D6563C82F,,0.0,,0,,,28.0
28,927C568E-6EF6-45EA-B4CD-7B901FA32B98,,51.0,,0,,,69.0
29,4374931E-F90D-4C89-9E28-806D016AA0D3,,0.0,,0,,,0.0
30,6B8D8D15-82D3-49A7-BE29-288142723FA9,,10.0,,4,,,0.0
31,BECDB9FA-A65E-441C-8C9A-044415407C58,,2.0,,0,,,50.0
32,9A86FA1C-F2EE-43A8-8514-1DB67FDFA40B,,0.0,,0,,,0.0
33,3E37A619-1472-440C-933C-B6A5D5251227,,2.0,,0,,,18.0
34,B69D7C1F-FF7E-4EC8-AB11-4FB02BCF895B,,1.0,,0,,,0.0
35,7284B3E8-5566-4329-A56F-577DA0B1CAB1,,18.0,,0,,,0.0
36,DB12D6B4-7543-40CB-BE29-26632F4A5C41,,1.0,,0,,,0.0
37,6E45EB45-65AE-413B-A5ED-94D74314F0DF,,7.0,,0,,,0.0
38,58C47788-26D3-4C1D-88E8-4557F186322A,,3.0,,0,,,12.0
39,47FAA744-D697-46FC-9305-C1278AC8D6C0,,1.0,,0,,,0.0
40,5CC497D4-9182-4CE4-AEDF-B80E2D135FF5,,11.0,,0,,,5.0
41,78E3D9D1-8F80-4D51-A521-B84B1F2BD5AC,,0.0,,0,,,73.0
42,C72EAE5B-3528-4983-B3B3-43F468282E87,,1.0,,0,,,89.0
43,1F7CAE5D-7B63-4185-ACA2-7BFEC34D907D,,5.0,,1,,,22.0
44,4A603C3E-D9B4-4F84-A51D-C77C40379D81,,4.0,,0,,,0.0
45,AD3829E0-C856-4F1E-BD61-988744605309,,10.0,,2,,,63.0
46,E9B286E7-1E89-4A7B-98EB-825B5EA6CE8A,,5.0,,0,,,0.0
47,2FE05558-3B62-4D7B-8B9E-40343AB473DB,,0.0,,0,,,0.0
48,5474F4F0-DA6C-402E-95FF-5016FAD4EA55,,0.0,,0,,,0.0
49,1B311404-986F-4C58-87AD-87C1A132BA1B,,0.0,,0,,,0.0
50,D832ACC9-D52F-4D0B-BED1-0A2982F2DBE8,,1.0,,0,,,25.0
51,C0A51A77-32C7-4C54-A4CE-5EB5017B8419,,0.0,,0,,,15.0
52,818EC035-1FF7-46CD-8F17-5269B0C77376,,1.0,,0,,,0.0
53,F0D0C972-3E52-48D7-9C51-1A49B3B6CF7C,,6.0,,0,,,0.0
54,E98F5543-53CF-4793-8E36-357A41E78951,,1.0,,0,,,0.0
55,CC0D1D9E-9711-4BDF-9E0B-4DB95CE4BC3B,,4.0,,0,,,69.0
56,B30D265D-CCEF-4226-A5C8-B3B32CFD7FEE,,1.0,,0,,,11.0
57,D49EBAE0-24B2-46E5-8B86-4B8B4955C83F,,2.0,,0,,,0.0
58,951F0455-8FCE-47DA-8485-CD7FE6782D6B,,2.0,,0,,,27.0
59,503AF256-BF34-4D96-9E42-CE53CFFDFF02,,1.0,,0,,,0.0
60,A4CCD44A-D0DA-4C38-92A7-53D8EC86E4C7,,1.0,,0,,,0.0
61,20DAA5C9-0BA8-42E3-B994-6DC93748A975,,2.0,,0,,,16.0
62,79DA9B23-D3C2-4CC1-8D54-0A5F80BBF7A4,,2.0,,0,,,0.0
63,8A21A06B-8C1C-4E3F-90D2-D01F902CA5C8,,12.0,,0,,,0.0
64,C39D1013-BC8F-4E19-A511-1E29D2C4F624,,0.0,,0,,,14.0
65,70C9F183-40D3-4A37-959B-41E77C4E54D4,,33.0,,0,,,56.0
66,68AD83C5-2482-4DE8-89C1-59D980D5F02E,,2.0,,0,,,0.0
67,56B6309B-9E05-4944-81EB-C5D33D4B1DD2,,1.0,,0,,,16.0
68,29ED38A8-FA78-4EB7-BAAB-29D702C890F0,,1.0,,0,,,0.0
