,Unnamed: 0,user_id,username,username_uppercase,username_lowercase,username_numeric,username_special,username_length,username_se,screenname,screenname_uppercase,screenname_lowercase,screenname_numeric,screenname_special,screenname_length,screenname_se,screenname_emoji,screenname_hashtag,screenname_word,description,description_length,user_md_follower,user_md_following,user_md_follow_ratio,user_md_total_post,user_md_total_like,user_md_verified,user_md_protected,label
0,1016,9D048B51-C363-4757-AB78-5558FCB4E8E2,,,,,,,,,,,,,,,,,,,,,,77.44444444444444,0.0,20.0,0.0,False,True
1,394,9E00D146-20B1-42E8-A674-21B46D09D96A,,,,,,,,,,,,,,,,,,,,,,38.0,0.0,20.0,0.0,False,True
2,1785,337D318F-ED73-4ADF-B137-9AC0A51B2B81,,,,,,,,,,,,,,,,,,,,,,124.0,0.0,0.0,0.0,False,True
3,1825,D3415070-137E-413C-9AAA-9DAF54E2E2BB,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,True
4,87,9A73D757-C37D-4E37-A8F2-08648D7C9D94,,,,,,,,,,,,,,,,,,,,,,0.4815681685196021,1.0,9.0,0.0,False,True
5,1665,AD88A9BF-533A-4095-8038-8F3076113391,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,True
6,1137,57AE63F5-34FA-42A4-83BE-60B0F8D9FDBB,,,,,,,,,,,,,,,,,,,,,,73.66666666666667,0.0,20.0,0.0,False,True
7,997,3E697033-1CA1-445E-83B5-539C8178A038,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,True
8,173,6DE44829-C8A9-4417-8634-0FF88A5244CB,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,True
9,921,AABB2545-427E-4AAE-9711-4C6FDEAF81B2,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,True
10,896,164D74EB-9596-482D-ADCE-4A014BFE4178,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,True
11,62,BE23F0E7-B335-468C-8341-0604311BAE87,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20.0,0.0,False,True
12,71,0CB46807-E2A2-4503-B74D-06BAE19C5271,,,,,,,,,,,,,,,,,,,,,,20.125,3.0,9.0,0.0,False,True
13,958,3D9FC37E-7324-4708-A914-4F7FDF9EA931,,,,,,,,,,,,,,,,,,,,,,24.866666666666667,0.0,20.0,0.0,False,True
14,636,3AEE1744-10A4-478D-A757-348EBEAA7173,,,,,,,,,,,,,,,,,,,,,,42.142857142857146,0.0,12.0,0.0,False,True
15,719,FA2D40AA-9B8A-4ED5-B226-3AF9FA738737,,,,,,,,,,,,,,,,,,,,,,149.0,0.0,0.0,0.0,False,True
16,1229,84379A3D-5A57-4437-B700-67899A1B1437,,,,,,,,,,,,,,,,,,,,,,45.10526315789474,1.0,9.0,0.0,False,True
17,344,0ED779E8-C5CC-46EE-B516-1DC8D05BBFAA,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,True
18,1165,DB03443A-E70D-4134-B315-62B91BDE18BE,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,True
19,1453,73EFE2B9-0123-4DEB-ABEE-7BC720CBB5D5,,,,,,,,,,,,,,,,,,,,,,28.245283018867923,0.0,20.0,0.0,False,True
20,273,3B9B6BB6-7B7E-4659-8E05-17824084C654,,,,,,,,,,,,,,,,,,,,,,87.2,0.0,20.0,0.0,False,True
21,1382,FC7450B0-875A-4900-9576-74A78B52A85E,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,True
22,1322,E4D02ABF-882E-49CB-96E2-6F8AC1EFB542,,,,,,,,,,,,,,,,,,,,,,20.571428571428573,6.0,0.0,0.0,False,True
23,515,6A2E7CB5-8CCD-4E67-83A6-2BDACA73D4C5,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,True
24,665,6F9257C2-0536-4139-993F-3678CAA9A57C,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,True
25,816,BAAA337F-7501-4167-92CE-42267F061D34,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,True
26,207,C4045E22-F4B1-4733-BDFA-11C9A0F3A17D,,,,,,,,,,,,,,,,,,,,,,22.743589743589745,0.0,20.0,0.0,False,True
